baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,alternative_gene_id,alternative_gene_name,comparison_status,baseline_variant_count,alternative_variant_count,exact_shared_variant_count,target_only_variant_count,accepted_match_count,rejected_match_count,target_reference_match_count,callable_no_candidate_count,target_not_callable_count,unresolved_projection_count,burden_explanation
GCF_000005845.2,b0001,thrL,GCF_003697165.2,EAS44_RS20635,thrL,comparable,0,0,0,0,0,0,0,0,0,0,same_exact_variants
GCF_000005845.2,b0002,thrA,GCF_003697165.2,EAS44_RS20630,thrA,comparable,38,59,21,38,21,0,17,0,0,0,partially_shared_variants
GCF_000005845.2,b0003,thrB,GCF_003697165.2,EAS44_RS20625,thrB,comparable,14,13,6,7,6,0,8,0,0,0,partially_shared_variants
GCF_000005845.2,b0004,thrC,GCF_003697165.2,EAS44_RS20620,thrC,comparable,12,20,4,16,4,0,8,0,0,0,partially_shared_variants
GCF_000005845.2,b0006,yaaA,GCF_003697165.2,EAS44_RS20610,yaaA,comparable,6,15,1,14,1,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0007,yaaJ,GCF_003697165.2,EAS44_RS20605,yaaJ,comparable,25,22,4,18,4,0,21,0,0,0,partially_shared_variants
GCF_000005845.2,b0008,talB,GCF_003697165.2,EAS44_RS20600,tal,comparable,4,11,4,7,4,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0009,mog,GCF_003697165.2,EAS44_RS20595,mog,comparable,7,11,7,4,7,0,0,0,0,0,partially_shared_variants
GCF_000005845.2,b0010,satP,GCF_003697165.2,EAS44_RS20590,satP,comparable,6,12,3,9,3,0,3,0,0,0,partially_shared_variants
GCF_000005845.2,b0011,yaaW,GCF_003697165.2,EAS44_RS20585,msyB,comparable,16,14,7,7,7,0,9,0,0,0,partially_shared_variants
GCF_000005845.2,b0013,yaaI,GCF_003697165.2,EAS44_RS20580,yaaI,comparable,4,15,2,13,2,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b0014,dnaK,GCF_003697165.2,EAS44_RS20575,dnaK,comparable,14,15,5,10,5,0,9,0,0,0,partially_shared_variants
GCF_000005845.2,b0015,dnaJ,GCF_003697165.2,EAS44_RS20570,dnaJ,comparable,13,21,6,15,6,0,7,0,0,0,partially_shared_variants
GCF_000005845.2,b0019,nhaA,GCF_003697165.2,EAS44_RS20545,nhaA,comparable,12,58,4,54,4,1,7,0,0,0,partially_shared_variants
GCF_000005845.2,b0023,rpsT,GCF_003697165.2,EAS44_RS20535,rpsT,comparable,0,1,0,1,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0024,yaaY,GCF_003697165.2,EAS44_RS20530,yaaY,comparable,0,3,0,3,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0025,ribF,GCF_003697165.2,EAS44_RS20525,ribF,comparable,9,22,3,19,3,0,6,0,0,0,partially_shared_variants
GCF_000005845.2,b0026,ileS,GCF_003697165.2,EAS44_RS20520,ileS,comparable,37,87,14,73,14,1,22,0,0,0,partially_shared_variants
GCF_000005845.2,b0027,lspA,GCF_003697165.2,EAS44_RS20515,lspA,comparable,3,5,1,4,1,0,2,0,0,0,partially_shared_variants
GCF_000005845.2,b0028,fkpB,GCF_003697165.2,EAS44_RS20510,fkpB,comparable,0,5,0,5,0,0,0,0,0,0,different_variants_in_same_gene
GCF_000005845.2,b0029,ispH,GCF_003697165.2,EAS44_RS20505,ispH,comparable,11,36,6,30,6,0,5,0,0,0,partially_shared_variants
GCF_000005845.2,b0031,dapB,GCF_003697165.2,EAS44_RS20490,dapB,comparable,18,19,4,15,4,0,14,0,0,0,partially_shared_variants
GCF_000005845.2,b0032,carA,GCF_003697165.2,EAS44_RS20480,carA,comparable,18,33,9,24,9,0,9,0,0,0,partially_shared_variants
GCF_000005845.2,b0033,carB,GCF_003697165.2,EAS44_RS20475,carB,comparable,60,122,32,90,32,0,28,0,0,0,partially_shared_variants
