direction,sha256,bytes,paf_records
GCF_003697165.2_to_GCF_000005845.2,7418434abe38ca8840d35b6748b17a3e9dd5b2c6edc94f9b0cb0893e7976218b,5447091,96
GCF_000005845.2_to_GCF_003697165.2,4193fe4c78190b39609b97798dce102ca4104ff4b3097177371511ef8ce15435,5523083,93
GCF_036503815.1_to_GCF_000005845.2,6994e832d56ef7ae8f1dc836cfa2994ace5b8d9a8dd826aae4d9e137b5e9d80d,5688909,115
GCF_000005845.2_to_GCF_036503815.1,f70f69bf0a20b1da71fbc9f23f8ae007df1d37806cd52db2f991790d8f77fa2e,5776562,107
GCF_005843885.1_to_GCF_000005845.2,9b729460fd709955e02c196df9b2371ec10b604a1e70310fe337b4d5ab19a341,6386343,144
GCF_000005845.2_to_GCF_005843885.1,fc11137ad6f8c24e78314797cc3d5abcd99f4ee08cb60a00225d1ae3e8cdf62b,6393228,144
GCF_000026225.1_to_GCF_000005845.2,5154c72c8e28c4d58a8a71a3b3fc9ec9a3b294737aae32c1a5b00ab483db7729,4629652,322
GCF_000005845.2_to_GCF_000026225.1,40bc1cb5ce69ed561641e42f9afb4bfd9ee62d4fc1abb269ccb3f888934f1331,4620175,308
GCF_002900365.1_to_GCF_000005845.2,f3bf07b346ca7e6914bb237201d5fa254afdef442d6f32aee49058507877ca70,6367239,174
GCF_000005845.2_to_GCF_002900365.1,751768b668072247fe3d516a0571eed15f04355ffacb9b051076460f343e7b38,6373519,166
