direction,source_accession,source_label,target_accession,target_label,projected_vcf_records,projected_duplicate_attempts,exact_vcf_records,exact_duplicate_attempts
GCF_000005845.2_to_GCF_003697165.2,GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,7617,0,7350,0
GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,7534,0,7350,0
GCF_000005845.2_to_GCF_036503815.1,GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,11116,0,10303,0
GCF_036503815.1_to_GCF_000005845.2,GCF_036503815.1,2017-02-2CC,GCF_000005845.2,MG1655 baseline,10563,0,10303,0
GCF_000005845.2_to_GCF_005843885.1,GCF_000005845.2,MG1655 baseline,GCF_005843885.1,E4742,6302,0,1236,0
GCF_005843885.1_to_GCF_000005845.2,GCF_005843885.1,E4742,GCF_000005845.2,MG1655 baseline,1299,0,1236,0
GCF_000005845.2_to_GCF_000026225.1,GCF_000005845.2,MG1655 baseline,GCF_000026225.1,ATCC 35469,5213,0,550,0
GCF_000026225.1_to_GCF_000005845.2,GCF_000026225.1,ATCC 35469,GCF_000005845.2,MG1655 baseline,598,0,550,0
GCF_000005845.2_to_GCF_002900365.1,GCF_000005845.2,MG1655 baseline,GCF_002900365.1,HT073016,4307,0,770,0
GCF_002900365.1_to_GCF_000005845.2,GCF_002900365.1,HT073016,GCF_000005845.2,MG1655 baseline,791,0,770,0
