source_accession,source_label,target_accession,target_label,status,count,percent
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,accepted_match,7350,23.730345785038583
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,ambiguous_mapping,0,0.0
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,callable_no_candidate,46,0.14851644981112583
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,complex_alignment_context,429,1.385077325412456
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,nonalignable,12992,41.94621121622058
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,nonreciprocal_mapping,2451,7.913343880153683
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,rejected_match,138,0.4455493494333775
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,target_not_callable,83,0.26797533335485746
GCF_000005845.2,MG1655 baseline,GCF_003697165.2,DSM 30083 / ATCC 11775,target_reference_match,7484,24.16298066057534
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,accepted_match,7350,7.9317973344844335
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,ambiguous_mapping,0,0.0
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,callable_no_candidate,103,0.11115307829277506
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,complex_alignment_context,165,0.17806075648842606
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,nonalignable,35612,38.43090703070199
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,nonreciprocal_mapping,9390,10.133275778341337
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,rejected_match,52,0.056116117196352455
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,target_not_callable,29,0.03129552689796579
GCF_003697165.2,DSM 30083 / ATCC 11775,GCF_000005845.2,MG1655 baseline,target_reference_match,39964,43.12739437759672
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,accepted_match,10303,33.26445613921803
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,ambiguous_mapping,0,0.0
GCF_000005845.2,MG1655 baseline,GCF_036503815.1,2017-02-2CC,callable_no_candidate,81,0.26151809640654766
