block_id,direction,source_accession,target_accession,query_name,query_length,query_start,query_end,strand,target_name,target_length,target_start,target_end,matches,alignment_bases,identity,mapq,alignment_type,chain_score,secondary_score,qualifying,reciprocal
GCF_003697165.2_to_GCF_000005845.2:1,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,328952,686572,-,NC_000913.3,4641652,3183814,3563518,338153,390955,0.86494098,60,P,270187,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:2,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2101113,2443995,-,NC_000913.3,4641652,1620247,2002343,335035,382248,0.87648595,60,P,262169,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:3,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,2879447,3145398,-,NC_000913.3,4641652,915348,1196196,250111,290752,0.86022108,60,P,198582,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:4,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4703526,4903501,-,NC_000913.3,4641652,3883729,4060110,169430,202322,0.83742747,60,P,126473,5046,false,false
GCF_003697165.2_to_GCF_000005845.2:5,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3459442,3614215,-,NC_000913.3,4641652,392972,551333,146717,162792,0.90125436,60,P,113464,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:6,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,3145615,3286597,-,NC_000913.3,4641652,771192,914958,137046,143968,0.95191987,60,P,103151,5029,true,true
GCF_003697165.2_to_GCF_000005845.2:7,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4247952,4456892,-,NC_000913.3,4641652,4283232,4426610,136418,212127,0.64309588,60,P,99368,5046,false,false
GCF_003697165.2_to_GCF_000005845.2:8,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,1389211,1522938,-,NC_000913.3,4641652,2476277,2635442,129680,159201,0.81456775,60,P,92990,5029,false,false
GCF_003697165.2_to_GCF_000005845.2:9,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,4559139,4679328,-,NC_000913.3,4641652,4093127,4202044,104263,122119,0.85378197,60,P,78167,5046,true,true
GCF_003697165.2_to_GCF_000005845.2:10,GCF_003697165.2_to_GCF_000005845.2,GCF_003697165.2,GCF_000005845.2,NZ_CP033092.2,4903501,135404,248089,-,NC_000913.3,4641652,3634993,3744128,99680,119144,0.83663466,60,P,73875,5029,false,false
